                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0782,                 73.442,                 1.3763,                0.87554,                0.42268,                0.50403,                 0.3858,                 1.0623,                 24.259,                 1.0091,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.0006,                 17.103,                 1.0153,                0.85252,                0.46884,                0.50571,                0.39089,                  1.049,                 15.358,                0.98919,             1.7497e-05,             1.7497e-05,             1.7497e-05
                      3,                 1.3139,                 8.5749,                 1.2763,                0.88426,                0.47723,                0.50761,                0.39285,                 1.0404,                 10.306,                 0.9782,             2.6286e-05,             2.6286e-05,             2.6286e-05
                      4,                 1.3212,                 4.1759,                 1.1993,                0.90361,                0.47723,                0.51956,                 0.3945,                 1.0094,                 5.7118,                0.95565,             3.4699e-05,             3.4699e-05,             3.4699e-05
                      5,                 1.1953,                 3.2955,                 1.1274,                0.94519,                0.47723,                0.52814,                0.40787,                 1.0116,                 3.1185,                0.93957,             4.2734e-05,             4.2734e-05,             4.2734e-05
                      6,                 1.2511,                 2.4517,                 1.0978,                 0.9354,                0.47781,                0.56029,                0.40974,                0.98497,                 2.1509,                0.92252,             5.0393e-05,             5.0393e-05,             5.0393e-05
                      7,                 1.1754,                 3.7559,                0.99355,                0.93769,                0.48447,                 0.5897,                0.42686,                0.98953,                 1.8414,                0.92118,             5.7675e-05,             5.7675e-05,             5.7675e-05
                      8,                  1.034,                 1.5243,                 1.0539,                0.95189,                0.47723,                0.59139,                0.42747,                0.97704,                 1.6058,                 0.9235,             6.4579e-05,             6.4579e-05,             6.4579e-05
                      9,                0.98169,                 1.4964,                0.97769,                0.75602,                0.52519,                 0.5879,                0.42425,                0.95216,                 1.5133,                0.92338,             7.1107e-05,             7.1107e-05,             7.1107e-05
                     10,                 1.3514,                 2.4076,                 1.0675,                0.95206,                0.47267,                0.59024,                0.44194,                0.94136,                 1.4542,                0.91292,             7.7257e-05,             7.7257e-05,             7.7257e-05
